3402  INFO  org.pircbotx.PircBotX - Connected to server.
3416  INFO  org.pircbotx.output.OutputRaw - CAP LS
3417  INFO  org.pircbotx.output.OutputRaw - NICK rcbot
3417  INFO  org.pircbotx.output.OutputRaw - USER chaosbot 8 * :PircBotX 2.0.1, a fork of PircBot, the Java IRC bot - pircbotx.googlecode.com
3444  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Looking up your hostname...
3499  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Checking Ident
3572  INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** Found your hostname
13443 INFO  org.pircbotx.InputParser - :dickson.freenode.net NOTICE * :*** No Ident response
13519 INFO  org.pircbotx.InputParser - :dickson.freenode.net CAP * LS :account-notify extended-join identify-msg multi-prefix sasl
13519 INFO  org.pircbotx.output.OutputRaw - CAP REQ :multi-prefix
13565 INFO  org.pircbotx.InputParser - :dickson.freenode.net CAP rcbot ACK :multi-prefix 
13566 INFO  org.pircbotx.output.OutputRaw - CAP END
13609 INFO  org.pircbotx.InputParser - :dickson.freenode.net 001 rcbot :Welcome to the freenode Internet Relay Chat Network rcbot
14568 INFO  org.pircbotx.output.OutputRaw - NICKSERV IDENTIFY neo59431
15570 INFO  org.pircbotx.output.OutputRaw - JOIN #stooptest 
15572 INFO  org.pircbotx.InputParser - :dickson.freenode.net 002 rcbot :Your host is dickson.freenode.net[208.80.155.68/6667], running version ircd-seven-1.1.3
15572 INFO  org.pircbotx.InputParser - :dickson.freenode.net 003 rcbot :This server was created Mon Sep 23 2013 at 12:51:42 PDT
15575 INFO  org.pircbotx.InputParser - :dickson.freenode.net 004 rcbot dickson.freenode.net ircd-seven-1.1.3 DOQRSZaghilopswz CFILMPQSbcefgijklmnopqrstvz bkloveqjfI
15576 INFO  org.pircbotx.InputParser - :dickson.freenode.net 005 rcbot CHANTYPES=# EXCEPTS INVEX CHANMODES=eIbq,k,flj,CFLMPQScgimnprstz CHANLIMIT=#:120 PREFIX=(ov)@+ MAXLIST=bqeI:100 MODES=4 NETWORK=freenode KNOCK STATUSMSG=@+ CALLERID=g :are supported by this server
15577 INFO  org.pircbotx.InputParser - :dickson.freenode.net 005 rcbot CASEMAPPING=rfc1459 CHARSET=ascii NICKLEN=16 CHANNELLEN=50 TOPICLEN=390 ETRACE CPRIVMSG CNOTICE DEAF=D MONITOR=100 FNC TARGMAX=NAMES:1,LIST:1,KICK:1,WHOIS:1,PRIVMSG:4,NOTICE:4,ACCEPT:,MONITOR: :are supported by this server
15582 INFO  org.pircbotx.InputParser - :dickson.freenode.net 005 rcbot EXTBAN=$,ajrxz WHOX CLIENTVER=3.0 SAFELIST ELIST=CTU :are supported by this server
15583 INFO  org.pircbotx.InputParser - :dickson.freenode.net 251 rcbot :There are 170 users and 85394 invisible on 28 servers
15584 INFO  org.pircbotx.InputParser - :dickson.freenode.net 252 rcbot 28 :IRC Operators online
15587 INFO  org.pircbotx.InputParser - :dickson.freenode.net 253 rcbot 15 :unknown connection(s)
15589 INFO  org.pircbotx.InputParser - :dickson.freenode.net 254 rcbot 52483 :channels formed
15590 INFO  org.pircbotx.InputParser - :dickson.freenode.net 255 rcbot :I have 9161 clients and 7 servers
